control_id;riesgo_id;mitigacion
1;50;
2;50;
3;50;
4;50;
5;50;
6;51;
7;52;
8;53;
9;53;
10;53;
11;53;
12;53;
13;54;
14;55;
15;55;
16;55;
17;55;
18;56;
19;57;
20;58;
21;59;
22;60;
23;61;
24;62;
25;63;
26;64;
27;65;
28;65;
29;65;
30;66;
31;66;
32;67;
33;68;
34;68;
35;69;
36;70;
37;70;
38;70;
39;71;
40;71;
41;71;
42;72;
43;72;
44;72;
45;73;
46;73;
47;74;
48;74;
49;74;
50;75;
51;75;
52;75;
53;76;
54;76;
55;77;
56;77;
57;77;
58;78;
59;78;
60;78;
61;79;
62;79;
63;79;
64;80;
65;80;
66;81;
67;81;
68;82;
69;82;
70;82;
71;83;
72;83;
73;83;
74;84;
75;84;
76;84;
77;85;
78;85;
79;86;
80;86;
81;87;4
82;88;4
83;89;7
84;90;5
85;91;4
86;92;
87;92;
88;92;
89;93;
90;93;
91;93;
92;94;
93;94;
94;94;
95;95;4
96;96;
97;96;
98;96;
99;96;
100;97;
101;97;
102;97;
103;98;
104;98;
105;98;
106;99;
107;99;
108;99;
109;100;
110;100;
111;100;
112;101;
113;101;
114;102;
115;102;
116;102;
117;103;
118;103;
119;103;
120;104;
121;104;
122;104;
123;2;6
124;149;6
125;149;6
126;149;5
127;150;6
128;150;9
129;150;5
129;163;5
130;151;7
131;151;0
132;151;7
133;151;9
134;152;8
134;160;8
134;161;8
135;13;
135;64;
135;74;
135;86;
135;34;
135;14;
135;153;
135;75;
135;50;
135;51;
135;36;
135;154;
135;136;
135;49;
135;37;
135;140;
135;141;
135;138;
135;38;
135;109;
135;35;
135;110;
135;139;
135;39;
135;137;
135;155;
135;79;
135;86;
135;86;
136;155;
137;64;
137;74;
137;86;
137;34;
137;14;
137;153;
137;75;
137;50;
137;51;
137;36;
137;154;
137;35;
137;136;
137;49;
137;37;
137;38;
137;140;
137;141;
137;138;
137;109;
137;110;
137;139;
137;39;
137;137;
137;155;
137;79;
137;13;
138;41;
139;44;
140;64;
141;79;
142;64;
143;47;
144;64;
145;36;
145;35;
145;36;
145;37;
145;38;
145;64;
145;74;
146;64;
147;14;
148;13;
148;64;
148;74;
148;86;
148;34;
148;14;
148;153;
148;75;
148;50;
148;51;
148;36;
148;154;
148;35;
148;136;
148;49;
148;37;
148;38;
148;140;
148;141;
148;138;
148;109;
148;110;
148;139;
148;39;
148;137;
148;155;
148;79;
149;75;
150;47;
151;86;
152;39;
153;49;
154;49;
155;44;
156;50;
157;136;
157;136;
158;14;
159;144;8
160;145;8
161;146;8
162;147;5
163;148;5
164;160;7
164;161;7
165;160;0
166;160;8
166;161;8
167;162;6
168;162;0
169;162;6
170;162;6
171;163;9
172;163;7
173;163;7
