objetivo_id;peis_item_id;;;;;;
1;1;;;;;;
1;3;;;;;;
1;5;;;;;;
1;6;;;;;;
2;6;;;;;;
3;1;;;;;;
3;6;;;;;;
4;1;;;;;;
4;6;;;;;;
5;2;;;;;;
6;1;;;;;;
6;4;;;;;;
7;1;;;;;;
7;8;;;;;;
8;4;;;;;;
9;2;;;;;;
9;5;;;;;;
10;10;;;;;;
11;6;;;;;;
12;5;;;;;;
13;2;;;;;;
14;3;;;;;;
15;1;;;;;;
15;7;;;;;;
16;1;;;;;;
17;1;;;;;;
17;6;;;;;;
18;3;;;;;;
18;5;;;;;;
20;1;;;;;;
21;1;;;;;;
23;1;;;;;;
25;1;;;;;;
26;1;;;;;;
31;1;;;;;;
35;1;;;;;;
44;1;;;;;;
45;1;;;;;;
46;1;;;;;;
46;6;;;;;;
47;1;;;;;;
48;2;;;;;;
49;3;;;;;;
49;5;;;;;;
50;4;;;;;;
51;7;;;;;;
52;8;;;;;;
53;9;;;;;;
54;1;;;;;;
55;1;;;;;;
56;2;;;;;;
57;3;;;;;;
58;8;;;;;;
59;8;;;;;;
60;8;;;;;;
61;1;;;;;;
62;1;;;;;;
63;3;;;;;;
64;5;;;;;;
65;7;;;;;;
66;10;;;;;;
67;1;;;;;;
68;1;;;;;;
69;1;;;;;;
70;1;;;;;;
71;1;;;;;;
72;10;;;;;;
73;1;;;;;;
74;1;;;;;;
75;1;;;;;;
76;1;;;;;;
77;1;;;;;;
