id;nombre;descripcion;fecha_objetivo;estrategico;peis;area_id;user_id;;;;;;;
1;O1 - CYD;Asegurar la continuidad operativa y el normal abastecimiento de gas natural, gasoil y fueloil, bajo los lineamientos de normalización y adaptación progresiva del MEM dispuestos en la Resolución SE N° 400/2025. Con el fin de garantizar la estricta observancia de los compromisos contractuales y regulatorios asumidos ante CAMMESA, salvaguardando la de nuestro parque generador y la transparencia en la gestión de recursos.;;NO;SI;CYD;Doncheff;;;;;;;
2;O2 - CYD;Asegurar la viabilidad económica y financiera de la generación de BAESA mediante el análisis predictivo del mercado, la optimización regulatoria y el control estricto de las transacciones económicas (facturación y liquidaciones) con CAMMESA.;;NO;SI;CYD;Doncheff;;;;;;;
3;O3 - CYD;Modernización integral del SMEC, para optimizar la captura de los datos comerciales, robustecimiento de la seguridad de información y asegurar una conciliación económica ágil y auditable ante Cammesa.;;NO;SI;CYD;Doncheff;;;;;;;
4;O4 - CYD;El objetivo fundamental del COG es actuar como el nexo operativo y técnico estratégico entre BAESA y la Compañía Administradora del Mercado Mayorista Eléctrico (CAMMESA), garantizando la seguridad, confiabilidad y transparencia en el intercambio de información en tiempo real.;;NO;SI;CYD;Doncheff;;;;;;;
5;O1 - RRHH;Fortalecer la gestión de liquidacion de haberes;;NO;SI;RRHH;Pasquale;;;;;;;
6;O2 - RRHH;Optimizar la gestión de la información de RRHH para la toma de decisiones;;NO;SI;RRHH;Pasquale;;;;;;;
7;O3 - RRHH;Garantizar la resiliencia de los procesos críticos de RRHH;;NO;SI;RRHH;Pasquale;;;;;;;
8;O4 - RRHH; Asegurar dotacion de talento critico;;NO;SI;RRHH;Pasquale;;;;;;;
9;O5 - RRHH;Fortalecer la seguridad y confidencialidad de la información de RRHH;;NO;SI;RRHH;Pasquale;;;;;;;
10;O6 - RRHH;Asegurar la sostenibilidad de la operación de RRHH en contextos críticos;;NO;SI;RRHH;Pasquale;;;;;;;
11;O7 - RRHH;Sostener la transparencia en el proceso de selección;;NO;SI;RRHH;Pasquale;;;;;;;
12;O8 - RRHH;Transparencia e Integridad en la relaciones sindicales;;NO;SI;RRHH;Pasquale;;;;;;;
13;O9 - RRHH;Garantizar el cumplimiento normativo en materia laboral y técnica;;NO;SI;RRHH;Pasquale;;;;;;;
14;O10 - RRHH;Transparencia en el pago de haberes.;;NO;SI;RRHH;Pasquale;;;;;;;
15;O1 - GAYF;Colaborar e impulsar el cumplimiento de los objetivos estratégicos;;NO;SI;GAYF;Piris;;;;;;;
16;O2 - GAYF;Gestionar los riesgos de la Gerencia;;NO;SI;GAYF;Piris;;;;;;;
17;O3 - GAYF;Impulsar la mejora continua de los procesos administrativos;;NO;SI;GAYF;Piris;;;;;;;
18;O4 - GAYF;Promover la participación y el conocimiento de los colaboradores;;NO;SI;GAYF;Piris;;;;;;;
19;O5 - GAYF;Asegurar la provisión oportuna y eficiente de bienes y servicios;;NO;NO;GAYF;Piris;;;;;;;
20;O6 - GAYF;Garantizar procesos de compras y contrataciones íntegros y transparentes;;NO;SI;GAYF;Piris;;;;;;;
21;O7 - GAYF;Implementar un sistema integral de registro y evaluación de proveedores;;NO;SI;GAYF;Piris;;;;;;;
22;O8 - GAYF;Registrar y validar las facturas;;NO;NO;GAYF;Piris;;;;;;;
23;O9 - GAYF;Asegurar la integridad, trazabilidad y respaldo documental de las operaciones del área;;NO;SI;GAYF;Piris;;;;;;;
24;O10 - GAYF;Brindar información clara, actualizada y confiable sobre la cuenta corriente de proveedores;;NO;NO;GAYF;Piris;;;;;;;
25;O11 - GAYF;Planificar y gestionar los recursos financieros de la compañía de forma integral;;NO;SI;GAYF;Piris;;;;;;;
26;O12 - GAYF;Gestionar inversiones de fondos de manera responsable y transparente;;NO;SI;GAYF;Piris;;;;;;;
27;O13 - GAYF;Ejercer el control y resguardo de fondos y valores;;NO;NO;GAYF;Piris;;;;;;;
28;O14 - GAYF;Diseñar, coordinar y monitorear el presupuesto económico-financiero anual;;NO;NO;GAYF;Piris;;;;;;;
29;O15 - GAYF;Generar y proporcionar reportes presupuestarios claros, actualizados y accesibles;;NO;NO;GAYF;Piris;;;;;;;
30;O16 - GAYF;Realizar el seguimiento sistemático de la ejecución presupuestaria ;;NO;NO;GAYF;Piris;;;;;;;
31;O17 - GAYF;Elaborar los Estados Financieros en tiempo y forma;;NO;SI;GAYF;Piris;;;;;;;
32;O18 - GAYF;Asegurar el cumplimiento tributario;;NO;NO;GAYF;Piris;;;;;;;
33;O19 - GAYF;Administrar y controlar los activos fijos de la organización;;NO;NO;GAYF;Piris;;;;;;;
34;O20 - GAYF;Gestionar la contratación y seguimiento de pólizas de seguros;;NO;NO;GAYF;Piris;;;;;;;
35;O21 - GAYF;Garantizar la seguridad informática de la organización;;NO;SI;GAYF;Piris;;;;;;;
36;O22 - GAYF;Asegurar la operación eficiente de los sistemas de gestión;;NO;NO;GAYF;Piris;;;;;;;
37;O23 - GAYF;Liderar procesos de innovación y transformación digital;;NO;NO;GAYF;Piris;;;;;;;
38;O24 - GAYF;Administrar los activos informáticos;;NO;NO;GAYF;Piris;;;;;;;
39;O25 - GAYF;Coordinar de manera integral la Logistica de las operaciones de importación y exportación ;;NO;NO;GAYF;Piris;;;;;;;
40;O26 - GAYF;Supervisar de manera eficiente la prestación de los servicios vinculados al área de comercio exterior, asegurando el cumplimiento de lo establecido en ordenes de compra o Contratos generados;;NO;NO;GAYF;Piris;;;;;;;
41;O27 - GAYF;Administrar eficientemente la flota vehicular de la empresa;;NO;NO;GAYF;Piris;;;;;;;
42;O28 - GAYF;Controlar, conciliar y reponer los gastos de combustible y multas;;NO;NO;GAYF;Piris;;;;;;;
43;O29 - GAYF;Supervisar los servicios generales del edificio de Administración Central;;NO;NO;GAYF;Piris;;;;;;;
44;O30-GAYF;Brindar soporte logístico eficiente ;;NO;NO;GAYF;Piris;;;;;;;
45;O1 - GAL;Colaborar con la implementación y mejora continua del SGAC;;NO;SI;GAL;Langus;;;;;;;
46;O2 - GAL;Mantener actualizada la matriz legal del SGAC;;NO;SI;GAL;Langus;;;;;;;
47;O3 - GAL;Administrar y Gestionar los riesgos de la Gerencia;;NO;SI;GAL;Langus;;;;;;;
48;O4 - GAL;Intervenir y colaborar en la auditoria del SGAC;;NO;SI;GAL;Langus;;;;;;;
49;O5 - GAL;Cumplir con lo estipulado por la Alta Dirección en lo relacionado con el SGAC. ;;NO;SI;GAL;Langus;;;;;;;
50;O6 - GAL;Compartir e incentivar al equipo de trabajo de la Gerencia con relacón a las capacitaciones y actualizaciones del SGAC;;NO;SI;GAL;Langus;;;;;;;
51;O7 - GAL;Participar de manera activa como capacitadora y como capacitada. Promover las capactiaciones desde el Comité de Etica e Integridad;;NO;SI;GAL;Langus;;;;;;;
52;O8 - GAL;Propiciar el cumplimiento de la presentación anual del Foward Faster;;NO;SI;GAL;Langus;;;;;;;
53;O9 - GAL;Participación activa en las reuniones de Directorio de Pacto Global  así como la interaación sostenida con el grupo de trabajo de Pacto Global;;NO;SI;GAL;Langus;;;;;;;
54;O10 - GAL;Propiciar el cumplimiento de la presentación anual de Forward Faster;;NO;SI;GAL;Langus;;;;;;;
55;O1 - MASH;Contribuir desde la Gcia. a la correcta implementación y mejora continua del SGAC.;;NO;SI;MASH;Fasano;;;;;;;
56;O2 - MASH;Participar activamente en la auditoria del SGAC;;NO;SI;MASH;Fasano;;;;;;;
57;O3 - MASH;Dar cumplimiento a todo los dispuesto por la Alta Dirección para el correcto funcionamiento del SGAC. ;;NO;SI;MASH;Fasano;;;;;;;
58;O4 - MASH;Participar en todas las actividades programadas en el año por área encargada del SGAC;;NO;SI;MASH;Fasano;;;;;;;
59;O5 - MASH;Energía accesible y NO contaminante- Desarrollar el Proyecto para la instalación del parque solar en la Central Os. Smith//;;NO;SI;MASH;Fasano;;;;;;;
60;O6 - MASH;"Trabajo decente y crecimiento- Reciclado de materiales ferrosos y no ferrosos ; RAEE y AEE";;NO;SI;MASH;Fasano;;;;;;;
61;O7 - MASH;" Acción por el clima- Modificar a la P. Ambiental de la empresa; incorporación del cambio climático y concepto de economía circular.";;NO;SI;MASH;Fasano;;;;;;;
62;O1 - PRO;Colaborarcon la implementacion y mejora continua del SGAC;;NO;SI;PRO;Grassi;;;;;;;
63;O2 - PRO;Revisionar y adecuar los procedimientos e instructivos vigentes;;NO;SI;PRO;Grassi;;;;;;;
64;O3 - PRO;Difundir e incentivar a la participacion de colaboradores de la Gerencia de Produccion respecto de las nueva publicaciones y capacitaciones del SGAC;;NO;SI;PRO;Grassi;;;;;;;
65;O4 - PRO;Promover la participación y el conocimiento de los colaboradores. ;;NO;SI;PRO;Grassi;;;;;;;
66;O5 - PRO;Colaborar e impulsar el cumplimiento de los objetivos estratégicos de la compañía y sus políticas.;;NO;SI;PRO;Grassi;;;;;;;
67;O6 - PRO;Colaborar con el plan integral anticorrupcion y de mejora continua en la gestion de BAESA y el Ministerio de Infraestructura y Obras Publicas;;NO;SI;PRO;Grassi;;;;;;;
