id;nombre;descripcion
1;Eje I- OG: Mejorar la eficacia del SGAC;OE 1: Recertificar exitosamente el SGAC de Administración Central en 2025 y 2028, y certificar Central Oscar Smith en 2028
2;Eje I- OG: Mejorar la eficacia del SGAC;OE 2: Mantener de manera exitosa la certificación del SGAC
3;Eje I- OG: Mejorar la eficacia del SGAC;OE 3: Lograr una participación creciente de los colaboradores, con incremento del 10% interanual
4;Eje II - OG: Asegurar la vigencia y actualización ;OE 4: Capacitar para mantener cultura de integridad. Incremento del 3% interanual en capacitaciones
5;Eje II - OG: Asegurar la vigencia y actualización ;OE 5: Mejorar la difusión interna y externa con incremento del 5% interanual
6;Eje II - OG: Asegurar la vigencia y actualización ;OE 6: Mantener vigente la normativa del SGAC con revisión del 100% al 2030
7;Eje III - OG: Intensificar participación en PG;OE 7: Mantener adhesión al Pacto Global Argentina con presentación anual de COP
8;Eje III - OG: Intensificar participación en PG;OE 8: Adherir a Forward Faster, avance del 20% anual en metas ODS
9;Eje III - OG: Intensificar participación en PG;OE 9: Cumplir compromisos como miembro de directorio 2024-2026 y volver a aplicar en 2026
10;Eje IV - OG: Promover acciones colectivas;OE 10: Desarrollar e implementar iniciativas conjuntas anticorrupción
