plan_accion_id;riesgo_id;mitigacion
1;1;
2;2;
3;3;
4;4;
5;5;
6;6;
7;7;
8;8;
9;9;
10;10;
11;11;
12;12;
13;13;
13;14;
13;34;
13;35;
13;39;
13;136;
13;139;
13;140;
14;15;
15;16;
16;17;
17;18;
18;19;
19;20;
20;21;
21;22;
22;34;
22;35;
22;36;
22;37;
22;38;
22;39;
22;109;
22;110;
22;137;
22;138;
22;141;
23;105;
24;106;
25;107;
26;108;
27;118;
28;119;
29;120;
30;121;
31;122;
32;123;
33;124;
34;125;
35;126;
36;40;
37;41;
38;42;
39;43;
40;44;
41;45;
42;46;
43;47;
44;48;
45;49;
46;154;
47;153;
48;155;
49;74;
50;75;
50;79;
51;76;
52;77;
53;78;
54;80;
55;89;
55;90;
56;93;
57;51;
57;52;
58;53;
59;64;
60;64;
61;66;
62;89;
