id;nombre;descripcion;area_id;user_id;;riesgo id;;;;
1;Cronograma de abastecimiento de combustibles;Elaborar y mantener un cronograma de abastecimiento de combustibles con un horizonte de aproximadamente 90 días, coordinando con proveedores, transportistas y operadores portuarios, para garantizar la disponibilidad antes de que los stocks alcancen niveles críticos.;CYDC;Doncheff;;1;;;;
2;Sustitución de combustible de CAMMESA;Administrar el proceso de sustitución del combustible almacenado en los tanques de las centrales -actualmente pertenecientes a CAMMESA- por combustible adquirido directamente por BAESA, como consecuencia del cambio normativo que transfiere la responsabilidad de aprovisionamiento a la empresa generadora.;CYDC;Doncheff;;2;;;;
3;Contratos oportunos de combustibles;Asegurar la suscripción oportuna de contratos de combustibles que garanticen la disponibilidad para la generación, evitando situaciones de fuerza mayor por ausencia de acuerdo contractual con los productores.;CYDC;Doncheff;;3;;;;
4;Coordinación de actualizaciones del sistema SMEC;Coordinación entre el Area sistemas y el Area Smec de Cammesa para programar actualizaciones.;CYDS;Doncheff;;4;;;;
5;Actualización del sistema SMEC;Actualizacion del sistema Smec.;CYDS;Doncheff;;5;;;;
6;Protección y seguridad de la red SMEC;aislar la red del sistema mediante firewalls (cortafuegos) y contraseñas fuertes, cifrar la transmisión de los datos y activar alertas automáticas ante cualquier intento de ingreso no autorizado;CYDS;Doncheff;;6;;;;
7;Capacitación y simulacros;Capacitación. Simulacros.;CYDG;Doncheff;;7;;;;
8;Control con doble redundancia;Control con doble redundancia;CYDG;Doncheff;;8;;;;
9;Control e informe de desvíos;Control y posterior informe al Area Sistemas para mitigar las posibles penalidades;CYDG;Doncheff;;9;;;;
10;Capacitación y doble redundancia;Capacitación y control con doble redundancia;CYDE;Doncheff;;10;;;;
11;Control cruzado de DTE;Reuniones semanales contrastando los DTE;CYDE;Doncheff;;11;;;;
12;Control diario de información energétic;Reuniones diarias entre personal del COG y Economía Energética para contrastar dicha información;CYDE;Doncheff;;12;;;;
13;Integridad en las contrataciones;Integridad en las contrataciones;FC;Mercapidez;;13;completar con todos los riegos del plan 869/1871;;;
13;Integridad en las contrataciones;Integridad en las contrataciones;FC;Mercapidez;;14;;;;
13;Integridad en las contrataciones;Integridad en las contrataciones;FC;Mercapidez;;34;;;;
13;Integridad en las contrataciones;Integridad en las contrataciones;FC;Mercapidez;;35;;;;
13;Integridad en las contrataciones;Integridad en las contrataciones;FC;Mercapidez;;39;;;;
