id;codigo;nombre;descripcion;impacto;probabilidad;respuesta;fundamento;tipo_riesgo_id;area_id;user_id;mayor_criticidad
1;;Sumnistro de combustible;Falta de Planificación y coordinación para anticipar el suministro;10;10;mitigar;;1;CYDC;Doncheff;NO
2;;Reemplazo a combustible propio;Gestión inadecuada o deficiente en del reemplazo del combustible de CAMMESA por combustible propio;10;10;mitigar;;1;CYDC;Doncheff;NO
3;;Gestión de contratos de suministro;Incumplimientos o ineficiencias en la Gestión de contratos de suministro de combustibles ;10;10;mitigar;;1;CYDC;Doncheff;NO
4;;Migración de datos;Inconsistencia o pérdida de datos durante el proceso de migración tecnológica entre los medidores/sistemas anteriores y la nueva plataforma modernizada;6;6;mitigar;;1;CYDS;Doncheff;NO
5;;Lectura SMEC;Fallas de sincronismo, daño físico o discrepancias en la lectura del SMEC. Pérdida de datos por fallas de comunicación en el medidor, descalibración de los equipos, o la falta de detección a tiempo de alarmas del sistema de medición;10;10;mitigar;;1;CYDS;Doncheff;NO
6;;SMEC analógico a moderno;Vulnerabilidad ante accesos no autorizados o alteración digital de datos al pasar de un sistema SMEC analógica/aislado a uno moderno y conectado a redes TCP/IP, como protocolo de transporte sobre una red física dedicada;3;3;mitigar;;1;CYDS;Doncheff;NO
7;;Mensajes equívocos;Falla o distorsión en la cadena de mandos (mensajes equívocos). Errores en la interpretación de las instrucciones de despacho de CAMMESA o demoras en la retransmisión interna de los mensajes. ;6;6;mitigar;;1;CYDG;Doncheff;NO
8;;Problemas con información;Asimetría o falta de oportunidad en la información. No reportar en los tiempos establecidos por los procedimientos las indisponibilidades, limitaciones técnicas o fallas en las unidades generadoras de BAESA;6;6;mitigar;;1;CYDG;Doncheff;NO
9;;Conectividad con sistemas CAMMESA;Pérdida de conectividad con los sistemas de CAMMESA. Caída de los sistemas de adquisición de datos (SCADA), del sistema de mensajería obligatoria o de las líneas telefónicas prioritarias. ;6;6;mitigar;;1;CYDG;Doncheff;NO
10;;Declaración CVP;Inconsistencias u obsolescencia en la Declaración de Costos Variables de Producción (CVP) y gestión de combustibles. Errores en el cálculo o retrasos en la declaración de costos bajo las nuevas reglas competitivas del despacho al Spot de la Res. 400/2025;3;3;mitigar;;1;CYDE;Doncheff;NO
11;;Control DTE;Aceptación de Liquidaciones de CAMMESA con errores no detectados. No contrastar los Documentos de Transacciones Económicas con los registros reales de disponibilidad, potencia contratada y despacho de BAESA;3;3;mitigar;;1;CYDE;Doncheff;NO
